"p_cens","tempo_anos","n","vicio_medio_xgboost","vicio_medio_rsf","eqm_xgboost","eqm_rsf"
0.25,1,10000,-0.204,0,135.941,0.092
0.25,3,10000,-0.249,0,205.273,0.122
0.25,5,10000,-0.265,0,236.754,0.153
0.4,1,10000,-0.204,0,137.259,0.092
0.4,3,10000,-0.251,0,207.755,0.131
